attendance_id,student_id,school_id,date,status
1,1,1,2021-01-01,0
2,1,1,2021-01-04,1
3,1,1,2021-01-05,1
4,1,1,2021-01-06,1
5,1,1,2021-01-07,0
6,1,1,2021-01-08,1
7,1,1,2021-01-11,1
8,1,1,2021-01-12,1
9,1,1,2021-01-13,1
10,1,1,2021-01-14,0
11,1,1,2021-01-15,0
12,1,1,2021-01-18,0
13,1,1,2021-01-19,0
14,1,1,2021-01-20,0
15,1,1,2021-01-21,0
16,1,1,2021-01-22,1
17,1,1,2021-01-25,0
18,1,1,2021-01-26,0
19,1,1,2021-01-27,0
20,1,1,2021-01-28,0
21,1,1,2021-01-29,0
22,1,1,2021-02-01,0
23,1,1,2021-02-02,0
24,1,1,2021-02-03,1
25,1,1,2021-02-04,0
26,1,1,2021-02-05,1
27,1,1,2021-02-08,0
28,1,1,2021-02-09,1
29,1,1,2021-02-10,1
30,1,1,2021-02-11,0
31,1,1,2021-02-12,1
32,1,1,2021-02-15,0
33,1,1,2021-02-16,0
34,1,1,2021-02-17,0
35,1,1,2021-02-18,0
36,1,1,2021-02-19,0
37,1,1,2021-02-22,1
38,1,1,2021-02-23,0
39,1,1,2021-02-24,1
40,1,1,2021-02-25,0
41,1,1,2021-02-26,1
42,1,1,2021-03-01,1
43,1,1,2021-03-02,0
44,1,1,2021-03-03,1
45,1,1,2021-03-04,0
46,1,1,2021-03-05,0
47,1,1,2021-03-08,0
48,1,1,2021-03-09,0
49,1,1,2021-03-10,0
50,1,1,2021-03-11,1
51,1,1,2021-03-12,0
52,1,1,2021-03-15,1
53,1,1,2021-03-16,0
54,1,1,2021-03-17,0
55,1,1,2021-03-18,0
56,1,1,2021-03-19,0
57,1,1,2021-03-22,0
58,1,1,2021-03-23,0
59,1,1,2021-03-24,1
60,1,1,2021-03-25,0
61,1,1,2021-03-26,0
62,1,1,2021-03-29,1
63,1,1,2021-03-30,1
64,1,1,2021-03-31,1
65,1,1,2021-04-01,1
66,1,1,2021-04-02,0
67,1,1,2021-04-05,1
68,1,1,2021-04-06,0
