attendance_id,student_id,school_id,date,status,attendance_rate,week_of_year
1,1,1,2021-01-01,0,0.53,1
34975,135,3,2021-01-01,1,0.47,1
35236,136,3,2021-01-01,0,0.47,1
5221,21,1,2021-01-01,1,0.53,1
35497,137,3,2021-01-01,0,0.47,1
35758,138,3,2021-01-01,1,0.47,1
4960,20,1,2021-01-01,0,0.53,1
36019,139,3,2021-01-01,1,0.47,1
36280,140,3,2021-01-01,1,0.47,1
5482,22,1,2021-01-01,0,0.53,1
4699,19,1,2021-01-01,0,0.53,1
36802,142,3,2021-01-01,1,0.47,1
4438,18,1,2021-01-01,0,0.53,1
37063,143,3,2021-01-01,0,0.47,1
37324,144,3,2021-01-01,0,0.47,1
37585,145,3,2021-01-01,1,0.47,1
4177,17,1,2021-01-01,0,0.53,1
37846,146,3,2021-01-01,1,0.47,1
38107,147,3,2021-01-01,0,0.47,1
36541,141,3,2021-01-01,1,0.47,1
3916,16,1,2021-01-01,1,0.53,1
34714,134,3,2021-01-01,1,0.47,1
34192,132,3,2021-01-01,0,0.47,1
31060,120,2,2021-01-01,0,0.25,1
7048,28,1,2021-01-01,0,0.53,1
31321,121,3,2021-01-01,0,0.47,1
31582,122,3,2021-01-01,0,0.47,1
6787,27,1,2021-01-01,1,0.53,1
31843,123,3,2021-01-01,0,0.47,1
32104,124,3,2021-01-01,1,0.47,1
32365,125,3,2021-01-01,0,0.47,1
34453,133,3,2021-01-01,0,0.47,1
6526,26,1,2021-01-01,0,0.53,1
32887,127,3,2021-01-01,1,0.47,1
6265,25,1,2021-01-01,1,0.53,1
33148,128,3,2021-01-01,0,0.47,1
33409,129,3,2021-01-01,0,0.47,1
6004,24,1,2021-01-01,1,0.53,1
33670,130,3,2021-01-01,0,0.47,1
33931,131,3,2021-01-01,1,0.47,1
5743,23,1,2021-01-01,1,0.53,1
32626,126,3,2021-01-01,0,0.47,1
38368,148,3,2021-01-01,1,0.47,1
38629,149,3,2021-01-01,0,0.47,1
3655,15,1,2021-01-01,1,0.53,1
43066,166,3,2021-01-01,1,0.47,1
43327,167,3,2021-01-01,1,0.47,1
1567,7,1,2021-01-01,1,0.53,1
43588,168,3,2021-01-01,1,0.47,1
43849,169,3,2021-01-01,0,0.47,1
1306,6,1,2021-01-01,0,0.53,1
44110,170,3,2021-01-01,1,0.47,1
44371,171,3,2021-01-01,1,0.47,1
1828,8,1,2021-01-01,0,0.53,1
44632,172,3,2021-01-01,0,0.47,1
44893,173,3,2021-01-01,0,0.47,1
45154,174,3,2021-01-01,1,0.47,1
784,4,1,2021-01-01,1,0.53,1
45415,175,3,2021-01-01,0,0.47,1
45676,176,3,2021-01-01,1,0.47,1
523,3,1,2021-01-01,1,0.53,1
45937,177,3,2021-01-01,0,0.47,1
46198,178,3,2021-01-01,0,0.47,1
1045,5,1,2021-01-01,0,0.53,1
42805,165,3,2021-01-01,1,0.47,1
42544,164,3,2021-01-01,0,0.47,1
2089,9,1,2021-01-01,1,0.53,1
38890,150,3,2021-01-01,1,0.47,1
39151,151,3,2021-01-01,0,0.47,1
3394,14,1,2021-01-01,1,0.53,1
39412,152,3,2021-01-01,1,0.47,1
