meal_id,school_id,menu,date,meal_quality_score,remarks,preparation_time,cooking_temperature,serving_temperature,calories,meal_wastage,weather_conditions,is_wastage_high,cooking_serving_diff,calories_per_meal,weather_conditions_encoded,menu_Chapati & Vegetables,menu_Idli & Sambar,menu_Khichdi,menu_Pulao,menu_Rice & Dal
1,1,Khichdi,2021-01-07,9.41,No Remarks,105,72.42,62.29,472.74,4,Cold,0,10.130000000000003,50.23804463336876,0,False,False,True,False,False
2,1,Khichdi,2021-04-21,7.55,No Remarks,43,,60.58,210.54,3,Warm,0,,27.886092715231786,3,False,False,True,False,False
3,1,Pulao,2021-05-21,6.01,No Remarks,66,68.81,68.63,494.11,4,Warm,0,0.18000000000000682,82.21464226289518,3,False,False,False,True,False
4,1,Pulao,2021-09-14,6.65,Poor,54,83.25,60.82,267.56,5,Rainy,0,22.43,40.23458646616541,2,False,False,False,True,False
5,1,Khichdi,2021-02-17,6.63,Poor,40,82.69,69.21,271.65,1,Cold,0,13.480000000000004,40.97285067873303,0,False,False,True,False,False
6,1,Khichdi,2021-09-02,9.42,Poor,82,69.27,52.55,242.44,2,Rainy,0,16.72,25.73673036093418,2,False,False,True,False,False
7,1,Chapati & Vegetables,2021-07-26,8.62,Average,43,79.02,60.56,246.55,4,Hot,0,18.459999999999994,28.602088167053367,1,True,False,False,False,False
8,1,Khichdi,2021-04-06,7.17,Poor,62,63.42,54.5,451.43,0,Warm,0,8.920000000000002,62.96094839609484,3,False,False,True,False,False
9,1,Idli & Sambar,2021-03-27,7.22,No Remarks,109,67.06,74.39,338.85,3,Warm,0,-7.329999999999998,46.93213296398893,3,False,True,False,False,False
10,1,Khichdi,2021-09-05,8.24,Average,59,63.97,56.75,335.18,8,Rainy,0,7.219999999999999,40.67718446601942,2,False,False,True,False,False
11,1,Khichdi,2021-05-19,9.0,Good,93,81.12,73.79,204.12,2,Warm,0,7.329999999999998,22.68,3,False,False,True,False,False
12,1,Rice & Dal,2021-10-24,8.19,No Remarks,33,84.73,55.72,421.78,5,Rainy,0,29.010000000000005,51.4993894993895,2,False,False,False,False,True
13,1,Rice & Dal,2021-02-04,7.28,Poor,71,63.28,60.01,207.3,0,Cold,0,3.270000000000003,28.475274725274726,0,False,False,False,False,True
14,1,Pulao,2021-07-06,7.63,Average,55,83.6,69.64,239.79,9,Hot,1,13.959999999999994,31.427260812581913,1,False,False,False,True,False
15,1,Rice & Dal,2021-03-09,7.72,Average,49,65.69,70.68,242.4,4,Warm,0,-4.990000000000009,31.39896373056995,3,False,False,False,False,True
16,1,Rice & Dal,2021-05-17,7.12,Poor,49,82.07,60.59,254.66,3,Warm,0,21.47999999999999,35.76685393258427,3,False,False,False,False,True
17,1,Rice & Dal,2021-05-11,7.19,Average,84,62.96,60.97,472.28,4,Warm,0,1.990000000000002,65.6856745479833,3,False,False,False,False,True
18,1,Khichdi,2021-10-08,7.22,Average,57,71.38,69.31,448.45,4,Rainy,0,2.069999999999993,62.11218836565097,2,False,False,True,False,False
19,1,Pulao,2021-10-06,8.36,Good,39,87.81,70.3,377.73,2,Rainy,0,17.510000000000005,45.18301435406699,2,False,False,False,True,False
20,1,Khichdi,2021-08-27,7.83,Average,43,83.61,70.19,431.99,2,Hot,0,13.420000000000002,55.171136653895275,1,False,False,True,False,False
21,1,Pulao,2021-08-22,7.06,Average,76,69.47,54.1,264.53,9,Hot,1,15.369999999999997,37.46883852691218,1,False,False,False,True,False
22,1,Idli & Sambar,2021-09-23,7.33,Average,58,86.54,69.63,296.19,0,Rainy,0,16.91000000000001,40.40791268758527,2,False,True,False,False,False
23,1,Chapati & Vegetables,2021-10-14,8.87,No Remarks,109,68.42,67.03,337.27,6,Rainy,0,1.3900000000000006,38.02367531003382,2,True,False,False,False,False
24,1,Khichdi,2021-09-12,7.4,Poor,74,84.48,63.64,307.5,2,Rainy,0,20.840000000000003,41.55405405405405,2,False,False,True,False,False
25,1,Pulao,2021-10-28,7.23,No Remarks,37,61.83,74.0,398.59,10,Rainy,1,-12.170000000000002,55.13001383125864,2,False,False,False,True,False
26,1,Chapati & Vegetables,2021-11-05,8.22,No Remarks,48,84.21,53.38,392.55,6,Rainy,0,30.82999999999999,47.75547445255474,2,True,False,False,False,False
27,1,Chapati & Vegetables,2021-09-23,7.84,Good,97,75.43,69.6,364.51,0,Rainy,0,5.8300000000000125,46.49362244897959,2,True,False,False,False,False
