attendance_id,student_id,school_id,date,status
1,1,1,2021-01-01,0.0
2,1,1,2021-01-04,1.0
3,1,1,2021-01-05,1.0
4,1,1,2021-01-06,1.0
5,1,1,2021-01-07,
6,1,1,2021-01-08,1.0
7,1,1,2021-01-11,1.0
8,1,1,2021-01-12,1.0
9,1,1,2021-01-13,1.0
10,1,1,2021-01-14,0.0
11,1,1,2021-01-15,0.0
12,1,1,2021-01-18,0.0
13,1,1,2021-01-19,0.0
14,1,1,2021-01-20,0.0
15,1,1,2021-01-21,0.0
16,1,1,2021-01-22,1.0
17,1,1,2021-01-25,0.0
18,1,1,2021-01-26,0.0
19,1,1,2021-01-27,0.0
20,1,1,2021-01-28,0.0
21,1,1,2021-01-29,0.0
22,1,1,2021-02-01,0.0
23,1,1,2021-02-02,0.0
24,1,1,2021-02-03,1.0
25,1,1,2021-02-04,0.0
26,1,1,2021-02-05,1.0
27,1,1,2021-02-08,0.0
28,1,1,2021-02-09,1.0
29,1,1,2021-02-10,1.0
30,1,1,2021-02-11,0.0
31,1,1,2021-02-12,1.0
32,1,1,2021-02-15,0.0
33,1,1,2021-02-16,0.0
34,1,1,2021-02-17,0.0
35,1,1,2021-02-18,0.0
36,1,1,2021-02-19,0.0
37,1,1,2021-02-22,1.0
38,1,1,2021-02-23,0.0
39,1,1,2021-02-24,1.0
40,1,1,2021-02-25,0.0
41,1,1,2021-02-26,1.0
42,1,1,2021-03-01,1.0
43,1,1,2021-03-02,0.0
44,1,1,2021-03-03,1.0
45,1,1,2021-03-04,0.0
46,1,1,2021-03-05,0.0
47,1,1,2021-03-08,
48,1,1,2021-03-09,0.0
49,1,1,2021-03-10,0.0
50,1,1,2021-03-11,1.0
51,1,1,2021-03-12,0.0
52,1,1,2021-03-15,1.0
53,1,1,2021-03-16,0.0
54,1,1,2021-03-17,0.0
55,1,1,2021-03-18,0.0
56,1,1,2021-03-19,0.0
57,1,1,2021-03-22,0.0
58,1,1,2021-03-23,0.0
59,1,1,2021-03-24,1.0
60,1,1,2021-03-25,0.0
61,1,1,2021-03-26,0.0
62,1,1,2021-03-29,1.0
63,1,1,2021-03-30,1.0
64,1,1,2021-03-31,1.0
65,1,1,2021-04-01,1.0
66,1,1,2021-04-02,0.0
67,1,1,2021-04-05,1.0
68,1,1,2021-04-06,0.0
69,1,1,2021-04-07,1.0
70,1,1,2021-04-08,0.0
71,1,1,2021-04-09,0.0
72,1,1,2021-04-12,0.0
73,1,1,2021-04-13,0.0
74,1,1,2021-04-14,1.0
75,1,1,2021-04-15,0.0
76,1,1,2021-04-16,0.0
77,1,1,2021-04-19,0.0
78,1,1,2021-04-20,1.0
79,1,1,2021-04-21,1.0
80,1,1,2021-04-22,0.0
81,1,1,2021-04-23,0.0
82,1,1,2021-04-26,1.0
83,1,1,2021-04-27,1.0
84,1,1,2021-04-28,1.0
85,1,1,2021-04-29,1.0
86,1,1,2021-04-30,1.0
87,1,1,2021-05-03,1.0
88,1,1,2021-05-04,0.0
89,1,1,2021-05-05,0.0
90,1,1,2021-05-06,1.0
91,1,1,2021-05-07,0.0
92,1,1,2021-05-10,1.0
93,1,1,2021-05-11,0.0
94,1,1,2021-05-12,1.0
95,1,1,2021-05-13,1.0
96,1,1,2021-05-14,1.0
97,1,1,2021-05-17,1.0
98,1,1,2021-05-18,1.0
99,1,1,2021-05-19,1.0
100,1,1,2021-05-20,0.0
101,1,1,2021-05-21,0.0
102,1,1,2021-05-24,0.0
103,1,1,2021-05-25,0.0
104,1,1,2021-05-26,1.0
105,1,1,2021-05-27,1.0
106,1,1,2021-05-28,1.0
107,1,1,2021-05-31,0.0
108,1,1,2021-06-01,0.0
109,1,1,2021-06-02,1.0
110,1,1,2021-06-03,1.0
111,1,1,2021-06-04,1.0
112,1,1,2021-06-07,1.0
113,1,1,2021-06-08,1.0
114,1,1,2021-06-09,1.0
115,1,1,2021-06-10,1.0
116,1,1,2021-06-11,1.0
117,1,1,2021-06-14,1.0
118,1,1,2021-06-15,1.0
119,1,1,2021-06-16,0.0
120,1,1,2021-06-17,1.0
121,1,1,2021-06-18,0.0
122,1,1,2021-06-21,0.0
123,1,1,2021-06-22,0.0
124,1,1,2021-06-23,0.0
125,1,1,2021-06-24,1.0
126,1,1,2021-06-25,0.0
127,1,1,2021-06-28,
128,1,1,2021-06-29,1.0
129,1,1,2021-06-30,1.0
130,1,1,2021-07-01,0.0
131,1,1,2021-07-02,1.0
132,1,1,2021-07-05,1.0
133,1,1,2021-07-06,1.0
134,1,1,2021-07-07,1.0
135,1,1,2021-07-08,0.0
136,1,1,2021-07-09,1.0
137,1,1,2021-07-12,1.0
138,1,1,2021-07-13,0.0
139,1,1,2021-07-14,0.0
140,1,1,2021-07-15,1.0
141,1,1,2021-07-16,1.0
142,1,1,2021-07-19,1.0
143,1,1,2021-07-20,0.0
144,1,1,2021-07-21,1.0
145,1,1,2021-07-22,1.0
146,1,1,2021-07-23,0.0
147,1,1,2021-07-26,1.0
148,1,1,2021-07-27,0.0
149,1,1,2021-07-28,1.0
150,1,1,2021-07-29,0.0
151,1,1,2021-07-30,1.0
152,1,1,2021-08-02,1.0
153,1,1,2021-08-03,1.0
154,1,1,2021-08-04,1.0
155,1,1,2021-08-05,0.0
156,1,1,2021-08-06,
157,1,1,2021-08-09,0.0
158,1,1,2021-08-10,0.0
159,1,1,2021-08-11,1.0
160,1,1,2021-08-12,1.0
161,1,1,2021-08-13,0.0
162,1,1,2021-08-16,1.0
163,1,1,2021-08-17,0.0
164,1,1,2021-08-18,1.0
165,1,1,2021-08-19,0.0
166,1,1,2021-08-20,0.0
167,1,1,2021-08-23,0.0
168,1,1,2021-08-24,0.0
169,1,1,2021-08-25,1.0
170,1,1,2021-08-26,1.0
171,1,1,2021-08-27,1.0
172,1,1,2021-08-30,0.0
173,1,1,2021-08-31,1.0
174,1,1,2021-09-01,0.0
175,1,1,2021-09-02,0.0
176,1,1,2021-09-03,1.0
177,1,1,2021-09-06,1.0
178,1,1,2021-09-07,0.0
179,1,1,2021-09-08,1.0
180,1,1,2021-09-09,0.0
181,1,1,2021-09-10,0.0
182,1,1,2021-09-13,0.0
183,1,1,2021-09-14,0.0
184,1,1,2021-09-15,0.0
185,1,1,2021-09-16,0.0
186,1,1,2021-09-17,0.0
187,1,1,2021-09-20,1.0
188,1,1,2021-09-21,1.0
189,1,1,2021-09-22,0.0
190,1,1,2021-09-23,1.0
191,1,1,2021-09-24,0.0
192,1,1,2021-09-27,0.0
193,1,1,2021-09-28,1.0
194,1,1,2021-09-29,1.0
195,1,1,2021-09-30,1.0
196,1,1,2021-10-01,1.0
197,1,1,2021-10-04,1.0
198,1,1,2021-10-05,0.0
199,1,1,2021-10-06,0.0
200,1,1,2021-10-07,0.0
201,1,1,2021-10-08,0.0
202,1,1,2021-10-11,1.0
203,1,1,2021-10-12,1.0
204,1,1,2021-10-13,1.0
205,1,1,2021-10-14,1.0
206,1,1,2021-10-15,0.0
207,1,1,2021-10-18,0.0
208,1,1,2021-10-19,1.0
209,1,1,2021-10-20,0.0
210,1,1,2021-10-21,1.0
211,1,1,2021-10-22,0.0
212,1,1,2021-10-25,0.0
213,1,1,2021-10-26,1.0
214,1,1,2021-10-27,0.0
215,1,1,2021-10-28,1.0
216,1,1,2021-10-29,1.0
217,1,1,2021-11-01,0.0
218,1,1,2021-11-02,1.0
219,1,1,2021-11-03,0.0
220,1,1,2021-11-04,1.0
221,1,1,2021-11-05,1.0
222,1,1,2021-11-08,0.0
223,1,1,2021-11-09,0.0
224,1,1,2021-11-10,0.0
225,1,1,2021-11-11,0.0
226,1,1,2021-11-12,0.0
227,1,1,2021-11-15,1.0
228,1,1,2021-11-16,1.0
229,1,1,2021-11-17,0.0
230,1,1,2021-11-18,1.0
231,1,1,2021-11-19,0.0
232,1,1,2021-11-22,1.0
233,1,1,2021-11-23,1.0
234,1,1,2021-11-24,1.0
235,1,1,2021-11-25,1.0
236,1,1,2021-11-26,1.0
237,1,1,2021-11-29,1.0
238,1,1,2021-11-30,0.0
239,1,1,2021-12-01,1.0
240,1,1,2021-12-02,1.0
241,1,1,2021-12-03,0.0
242,1,1,2021-12-06,0.0
243,1,1,2021-12-07,0.0
244,1,1,2021-12-08,0.0
245,1,1,2021-12-09,1.0
246,1,1,2021-12-10,1.0
247,1,1,2021-12-13,0.0
248,1,1,2021-12-14,1.0
249,1,1,2021-12-15,1.0
250,1,1,2021-12-16,1.0
251,1,1,2021-12-17,1.0
252,1,1,2021-12-20,1.0
253,1,1,2021-12-21,0.0
254,1,1,2021-12-22,0.0
255,1,1,2021-12-23,0.0
256,1,1,2021-12-24,1.0
257,1,1,2021-12-27,1.0
258,1,1,2021-12-28,1.0
259,1,1,2021-12-29,0.0
260,1,1,2021-12-30,1.0
261,1,1,2021-12-31,0.0
262,2,1,2021-01-01,0.0
263,2,1,2021-01-04,0.0
264,2,1,2021-01-05,0.0
265,2,1,2021-01-06,0.0
266,2,1,2021-01-07,0.0
267,2,1,2021-01-08,
268,2,1,2021-01-11,0.0
269,2,1,2021-01-12,1.0
270,2,1,2021-01-13,1.0
271,2,1,2021-01-14,1.0
272,2,1,2021-01-15,0.0
273,2,1,2021-01-18,0.0
274,2,1,2021-01-19,1.0
275,2,1,2021-01-20,0.0
276,2,1,2021-01-21,1.0
277,2,1,2021-01-22,0.0
278,2,1,2021-01-25,0.0
279,2,1,2021-01-26,0.0
280,2,1,2021-01-27,0.0
281,2,1,2021-01-28,1.0
282,2,1,2021-01-29,1.0
283,2,1,2021-02-01,0.0
284,2,1,2021-02-02,0.0
285,2,1,2021-02-03,0.0
286,2,1,2021-02-04,1.0
287,2,1,2021-02-05,1.0
288,2,1,2021-02-08,1.0
289,2,1,2021-02-09,0.0
290,2,1,2021-02-10,0.0
291,2,1,2021-02-11,1.0
292,2,1,2021-02-12,1.0
293,2,1,2021-02-15,0.0
294,2,1,2021-02-16,0.0
295,2,1,2021-02-17,0.0
296,2,1,2021-02-18,1.0
297,2,1,2021-02-19,0.0
298,2,1,2021-02-22,1.0
299,2,1,2021-02-23,1.0
300,2,1,2021-02-24,1.0
301,2,1,2021-02-25,0.0
302,2,1,2021-02-26,1.0
303,2,1,2021-03-01,0.0
304,2,1,2021-03-02,1.0
305,2,1,2021-03-03,1.0
306,2,1,2021-03-04,0.0
307,2,1,2021-03-05,1.0
308,2,1,2021-03-08,0.0
309,2,1,2021-03-09,0.0
310,2,1,2021-03-10,0.0
311,2,1,2021-03-11,0.0
312,2,1,2021-03-12,1.0
313,2,1,2021-03-15,0.0
314,2,1,2021-03-16,1.0
315,2,1,2021-03-17,1.0
316,2,1,2021-03-18,1.0
317,2,1,2021-03-19,0.0
318,2,1,2021-03-22,0.0
319,2,1,2021-03-23,1.0
320,2,1,2021-03-24,0.0
321,2,1,2021-03-25,1.0
322,2,1,2021-03-26,
323,2,1,2021-03-29,0.0
324,2,1,2021-03-30,1.0
325,2,1,2021-03-31,0.0
326,2,1,2021-04-01,0.0
327,2,1,2021-04-02,1.0
328,2,1,2021-04-05,1.0
329,2,1,2021-04-06,0.0
330,2,1,2021-04-07,1.0
331,2,1,2021-04-08,0.0
332,2,1,2021-04-09,0.0
333,2,1,2021-04-12,0.0
334,2,1,2021-04-13,0.0
335,2,1,2021-04-14,0.0
336,2,1,2021-04-15,1.0
337,2,1,2021-04-16,1.0
338,2,1,2021-04-19,1.0
339,2,1,2021-04-20,0.0
340,2,1,2021-04-21,1.0
341,2,1,2021-04-22,1.0
342,2,1,2021-04-23,0.0
343,2,1,2021-04-26,0.0
344,2,1,2021-04-27,1.0
345,2,1,2021-04-28,0.0
346,2,1,2021-04-29,1.0
347,2,1,2021-04-30,1.0
348,2,1,2021-05-03,0.0
349,2,1,2021-05-04,0.0
350,2,1,2021-05-05,0.0
351,2,1,2021-05-06,1.0
352,2,1,2021-05-07,0.0
353,2,1,2021-05-10,0.0
354,2,1,2021-05-11,1.0
355,2,1,2021-05-12,0.0
356,2,1,2021-05-13,1.0
357,2,1,2021-05-14,1.0
358,2,1,2021-05-17,1.0
359,2,1,2021-05-18,0.0
360,2,1,2021-05-19,1.0
361,2,1,2021-05-20,1.0
362,2,1,2021-05-21,1.0
363,2,1,2021-05-24,0.0
364,2,1,2021-05-25,1.0
365,2,1,2021-05-26,1.0
366,2,1,2021-05-27,0.0
367,2,1,2021-05-28,0.0
368,2,1,2021-05-31,0.0
369,2,1,2021-06-01,0.0
370,2,1,2021-06-02,1.0
371,2,1,2021-06-03,1.0
372,2,1,2021-06-04,1.0
373,2,1,2021-06-07,0.0
374,2,1,2021-06-08,0.0
375,2,1,2021-06-09,
376,2,1,2021-06-10,1.0
377,2,1,2021-06-11,0.0
378,2,1,2021-06-14,0.0
379,2,1,2021-06-15,0.0
380,2,1,2021-06-16,0.0
381,2,1,2021-06-17,1.0
382,2,1,2021-06-18,0.0
383,2,1,2021-06-21,0.0
384,2,1,2021-06-22,0.0
385,2,1,2021-06-23,0.0
386,2,1,2021-06-24,0.0
387,2,1,2021-06-25,1.0
388,2,1,2021-06-28,1.0
389,2,1,2021-06-29,1.0
390,2,1,2021-06-30,1.0
391,2,1,2021-07-01,0.0
392,2,1,2021-07-02,0.0
393,2,1,2021-07-05,0.0
394,2,1,2021-07-06,1.0
395,2,1,2021-07-07,1.0
396,2,1,2021-07-08,1.0
397,2,1,2021-07-09,1.0
398,2,1,2021-07-12,0.0
399,2,1,2021-07-13,1.0
400,2,1,2021-07-14,1.0
401,2,1,2021-07-15,0.0
402,2,1,2021-07-16,0.0
403,2,1,2021-07-19,0.0
404,2,1,2021-07-20,1.0
405,2,1,2021-07-21,0.0
406,2,1,2021-07-22,1.0
407,2,1,2021-07-23,1.0
408,2,1,2021-07-26,1.0
409,2,1,2021-07-27,0.0
410,2,1,2021-07-28,1.0
411,2,1,2021-07-29,0.0
412,2,1,2021-07-30,1.0
413,2,1,2021-08-02,0.0
414,2,1,2021-08-03,1.0
415,2,1,2021-08-04,0.0
416,2,1,2021-08-05,1.0
417,2,1,2021-08-06,1.0
418,2,1,2021-08-09,0.0
419,2,1,2021-08-10,0.0
420,2,1,2021-08-11,1.0
421,2,1,2021-08-12,1.0
422,2,1,2021-08-13,1.0
423,2,1,2021-08-16,0.0
424,2,1,2021-08-17,0.0
425,2,1,2021-08-18,0.0
426,2,1,2021-08-19,1.0
427,2,1,2021-08-20,1.0
428,2,1,2021-08-23,1.0
429,2,1,2021-08-24,1.0
430,2,1,2021-08-25,1.0
431,2,1,2021-08-26,0.0
432,2,1,2021-08-27,0.0
433,2,1,2021-08-30,1.0
434,2,1,2021-08-31,0.0
435,2,1,2021-09-01,0.0
436,2,1,2021-09-02,1.0
437,2,1,2021-09-03,0.0
438,2,1,2021-09-06,1.0
439,2,1,2021-09-07,1.0
440,2,1,2021-09-08,0.0
441,2,1,2021-09-09,1.0
442,2,1,2021-09-10,1.0
443,2,1,2021-09-13,0.0
444,2,1,2021-09-14,0.0
445,2,1,2021-09-15,0.0
446,2,1,2021-09-16,0.0
447,2,1,2021-09-17,0.0
448,2,1,2021-09-20,1.0
449,2,1,2021-09-21,0.0
450,2,1,2021-09-22,1.0
